mass_eV,chi,q_disc,probability
0.0151,1e-13,542.7876494662199,0.0
0.0151,1.27e-13,542.7876494662199,0.0
0.0151,1.61e-13,542.7876494662199,0.0
0.0151,2.04e-13,542.7876494662199,0.0
0.0151,2.59e-13,542.7876494662199,0.0
0.0151,3.29e-13,542.7876494662199,0.0
0.0151,4.17e-13,542.7876494662199,0.0
0.0151,5.3e-13,542.7876494662199,0.0
0.0151,6.72e-13,542.7876494662199,0.0
0.0151,8.53e-13,542.7876494662199,0.0
0.0151,1.083e-12,542.7876494662199,0.0
0.0151,1.374e-12,542.7876494662199,0.0
0.0151,1.743e-12,542.7876494662199,0.0
0.0151,2.212e-12,542.7876494662199,0.0
0.0151,2.807e-12,542.7876494662199,0.0
0.0151,3.562e-12,542.7876494662199,0.0
0.0151,4.52e-12,542.7876494662199,0.0
0.0151,5.736e-12,542.7876494662199,0.0
0.0151,7.279e-12,542.7876494662199,0.0
0.0151,9.237e-12,542.7876494662199,0.016983016983016984
0.0151,1.1721e-11,542.7876494662199,0.03496503496503497
0.0151,1.4874e-11,542.7876494662199,0.1018981018981019
0.0151,1.8874e-11,542.7876494662199,0.3276723276723277
0.0151,2.395e-11,542.7876494662199,0.7442557442557443
0.0151,3.0392e-11,542.7876494662199,0.971028971028971
0.0151,3.8566e-11,542.7876494662199,1.0
0.0151,4.8939e-11,542.7876494662199,1.0
0.0151,6.2102e-11,542.7876494662199,1.0
0.0151,7.8805e-11,542.7876494662199,1.0
0.0151,1e-10,542.7876494662199,1.0
0.0156,1e-13,580.6441322154108,0.0
0.0156,1.27e-13,580.6441322154108,0.0
0.0156,1.61e-13,580.6441322154108,0.0
0.0156,2.04e-13,580.6441322154108,0.0
0.0156,2.59e-13,580.6441322154108,0.0
0.0156,3.29e-13,580.6441322154108,0.0
0.0156,4.17e-13,580.6441322154108,0.0
0.0156,5.3e-13,580.6441322154108,0.0
0.0156,6.72e-13,580.6441322154108,0.0
0.0156,8.53e-13,580.6441322154108,0.0
0.0156,1.083e-12,580.6441322154108,0.0
0.0156,1.374e-12,580.6441322154108,0.0
0.0156,1.743e-12,580.6441322154108,0.0
0.0156,2.212e-12,580.6441322154108,0.0
0.0156,2.807e-12,580.6441322154108,0.0
0.0156,3.562e-12,580.6441322154108,0.0
0.0156,4.52e-12,580.6441322154108,0.0
0.0156,5.736e-12,580.6441322154108,0.0
0.0156,7.279e-12,580.6441322154108,0.0
0.0156,9.237e-12,580.6441322154108,0.0
0.0156,1.1721e-11,580.6441322154108,0.027972027972027972
0.0156,1.4874e-11,580.6441322154108,0.0969030969030969
0.0156,1.8874e-11,580.6441322154108,0.33766233766233766
0.0156,2.395e-11,580.6441322154108,0.7632367632367633
0.0156,3.0392e-11,580.6441322154108,0.98001998001998
0.0156,3.8566e-11,580.6441322154108,1.0
0.0156,4.8939e-11,580.6441322154108,1.0
0.0156,6.2102e-11,580.6441322154108,1.0
0.0156,7.8805e-11,580.6441322154108,1.0
0.0156,1e-10,580.6441322154108,1.0
0.0162,1e-13,557.7214973163407,0.0
0.0162,1.27e-13,557.7214973163407,0.0
0.0162,1.61e-13,557.7214973163407,0.0
0.0162,2.04e-13,557.7214973163407,0.0
0.0162,2.59e-13,557.7214973163407,0.0
0.0162,3.29e-13,557.7214973163407,0.0
0.0162,4.17e-13,557.7214973163407,0.0
0.0162,5.3e-13,557.7214973163407,0.0
0.0162,6.72e-13,557.7214973163407,0.0
0.0162,8.53e-13,557.7214973163407,0.0
0.0162,1.083e-12,557.7214973163407,0.0
0.0162,1.374e-12,557.7214973163407,0.0
0.0162,1.743e-12,557.7214973163407,0.0
