mass_eV,chi_1pct,chi_5pct,chi_10pct,chi_20pct,chi_30pct,chi_40pct,chi_50pct,chi_60pct,chi_70pct,chi_80pct,chi_90pct
0.1278,7.807847678033747e-12,9.596924011153481e-12,1.0811865491443156e-11,1.2162002342269455e-11,1.2860550223698989e-11,1.3599220539651804e-11,1.438031779894516e-11,1.5248789041296163e-11,1.623882174237464e-11,1.729313264590901e-11,1.8415895035576277e-11
0.1304,9.88810314992409e-12,1.2056616638202855e-11,1.3243406015120787e-11,1.5186915139738488e-11,1.603846647865495e-11,1.6937765479037697e-11,1.7887489418311385e-11,1.8895104887179966e-11,2.026349773535421e-11,2.1730990270887332e-11,2.330475934218792e-11
0.1326,6.724394261428487e-12,9.619310647022705e-12,1.0764211720076352e-11,1.2213518438257085e-11,1.3049963147460894e-11,1.394369190262508e-11,1.4894514999124997e-11,1.573960642196916e-11,1.6632647006837576e-11,1.757635731398748e-11,1.8573612263998862e-11
0.1336,6.2459285788430575e-12,8.577517071426677e-12,9.903895964338731e-12,1.1742921057666721e-11,1.244973495143494e-11,1.319909242341257e-11,1.3993554198654424e-11,1.4835835133886465e-11,1.588986005286539e-11,1.7026741920053286e-11,1.824496499324562e-11
0.1376,6.362647383468083e-12,9.620368364746397e-12,1.092105657399947e-11,1.230121233072583e-11,1.3153449121756278e-11,1.4064729487392053e-11,1.501023980622913e-11,1.5863928433133834e-11,1.676616953362413e-11,1.7719724468947094e-11,1.8727511649318952e-11
0.1428,6.997037079917895e-12,9.29898590119423e-12,1.0948420005586654e-11,1.2529095320168583e-11,1.3630622054218134e-11,1.4828992264577857e-11,1.5567989166290332e-11,1.6322102245832714e-11,1.7112744547656877e-11,1.7941685546549588e-11,1.8810780430620115e-11
0.1438,6.6579099547243345e-12,9.177465586709292e-12,1.0488975512564646e-11,1.2143288921709882e-11,1.291923318544931e-11,1.3744759527348225e-11,1.4623036193619124e-11,1.5544779952869758e-11,1.651953218561199e-11,1.755540731093403e-11,1.8656238105896366e-11
0.1481,7.620572865901726e-12,9.154849785568587e-12,1.0162267610449016e-11,1.1937535949932325e-11,1.2738974477092188e-11,1.3594218388839798e-11,1.4506879963986975e-11,1.5445692596105143e-11,1.6421932149037316e-11,1.7459874578598704e-11,1.856341979334428e-11
0.15,5.430138163640159e-12,8.71976932478843e-12,1.0262235477036568e-11,1.212241284817774e-11,1.3000513300589658e-11,1.3942219935548085e-11,1.494158741041193e-11,1.587361448570032e-11,1.6863779591788922e-11,1.7915709265626018e-11,1.9430168320177185e-11
0.1537,8.310105618119384e-12,1.0612179677915808e-11,1.1971749412344033e-11,1.2945352230604288e-11,1.3998133322237657e-11,1.5040590108528683e-11,1.5808135898807453e-11,1.6614850799867428e-11,1.746273367517548e-11,1.8353885393454133e-11,2.0295476947506023e-11
0.1571,4.2790385126488245e-12,8.517841871907258e-12,9.817771291297873e-12,1.1626353349514495e-11,1.2448545287686255e-11,1.3261414312491146e-11,1.4127362314495154e-11,1.505562438402598e-11,1.6071846932759783e-11,1.7156662337041285e-11,1.8314700468386454e-11
0.1595,9.041065455111016e-12,1.0569840511959717e-11,1.1905253165302495e-11,1.2866892590904244e-11,1.3906207843473437e-11,1.4975778610120576e-11,1.57584413399731e-11,1.658200751562618e-11,1.7448614829107998e-11,1.8360512692305974e-11,2.0341561074897454e-11
0.1654,7.978174310278599e-12,9.873162939237097e-12,1.1341025457042203e-11,1.2565546333840441e-11,1.3597997079451613e-11,1.4715279356760146e-11,1.5524909774030383e-11,1.6313794647737287e-11,1.7142766024555835e-11,1.8013860865499253e-11,1.912588531899488e-11
0.1717,8.310105618119384e-12,1.0585911998440562e-11,1.2042190130467063e-11,1.3357784268543864e-11,1.4817105412870455e-11,1.560431026787483e-11,1.6400623615282628e-11,1.723757412872822e-11,1.8117235588927336e-11,1.926455253931615e-11,2.1616265670869053e-11
0.1781,5.200731372084494e-12,1.0890376120534946e-11,1.2602695272989776e-11,1.4925526528621292e-11,1.5782573221480864e-11,1.6688832853819186e-11,1.7647131308324235e-11,1.8660456734214922e-11,1.9977790860799503e-11,2.1456009952138473e-11,2.3043607087187396e-11
0.1802,8.744506845059681e-12,1.4915556379697772e-11,1.5966958763614263e-11,1.8297328909919547e-11,1.9721845943663433e-11,2.0876609827431717e-11,2.209898805273086e-11,2.3392939610004727e-11,2.4993090190631714e-11,2.6877710913441112e-11,2.8904442725425746e-11
0.1848,1.5354407359255492e-11,1.7436294017224142e-11,1.9284281352766543e-11,2.1011152024591026e-11,2.2892660676574396e-11,2.4471677451568723e-11,2.561100184293479e-11,2.6803369597238707e-11,2.8051250246751603e-11,2.9357228297405776e-11,3.1819806259524587e-11
0.1855,1.7113286848247122e-11,2.1958821257193183e-11,2.489720566707137e-11,2.820778890313465e-11,3.104288182760947e-11,3.2720541171271326e-11,3.4488866738803815e-11,3.635275843088254e-11,3.83173809549167e-11,4.177075814865234e-11,4.5750596854450804e-11
0.1917,8.879202396484664e-12,1.2486794094110501e-11,1.4415856578234092e-11,1.617693285949947e-11,1.7775463338057307e-11,1.9260223285330184e-11,2.0363577446410162e-11,2.1530139099258925e-11,2.276352919094563e-11,2.4191425799456143e-11,2.7115047720722758e-11
0.1933,8.448865500840133e-12,1.2119449034741437e-11,1.3777290971369995e-11,1.5735347099102116e-11,1.7050540425323376e-11,1.847566036926987e-11,1.966959640181142e-11,2.0807334135648973e-11,2.201088141252721e-11,2.3284044817941455e-11,2.592514154283534e-11
0.1989,1.3062923440820575e-11,1.55803167177021e-11,1.6924955487714887e-11,1.9224264497540846e-11,2.028725668672157e-11,2.140902628163367e-11,2.2592823337601706e-11,2.3842077619474635e-11,2.546120392337585e-11,2.721990210418904e-11,2.910007998016907e-11
