m_test,lower_2sigma,lower_1sigma,median,upper_1sigma,upper_2sigma,limit
2.671999999999999931e-01,1.747970857723045822e-11,2.144716634034413502e-11,2.590592847284737271e-11,2.948526041199047790e-11,3.332119303993852062e-11,2.815275332219929233e-11
2.772000000000000020e-01,1.936208194995057247e-11,2.375679150720486900e-11,2.845211892304023820e-11,3.242997015488686864e-11,3.694752298891673358e-11,3.099533858538410660e-11
2.876000000000000223e-01,2.000598770664819068e-11,2.404433702300761313e-11,3.017115560883692471e-11,3.476788599492902833e-11,3.870148600713306057e-11,3.300142339052291750e-11
2.983999999999999986e-01,2.321682072381656711e-11,2.864594152969393805e-11,3.495558710339427429e-11,4.005094321654685152e-11,4.498449503017853391e-11,3.816126564921484983e-11
3.096000000000000418e-01,2.538899070208636725e-11,3.128956107764487328e-11,3.791038017752951061e-11,4.368274708781865131e-11,4.932895117677796538e-11,4.158443748359948943e-11
3.213000000000000300e-01,2.809033922508005032e-11,3.457719552090691723e-11,4.217170641300767139e-11,4.817251247284786719e-11,5.430785672718125641e-11,4.565623994076286412e-11
3.215000000000000080e-01,2.931582267470522816e-11,3.475558949191771017e-11,4.203912928084249946e-11,4.770748613972418780e-11,5.316592760689967227e-11,4.613525811683049647e-11
3.332999999999999852e-01,2.853589276420530339e-11,3.516782411824481968e-11,4.270570154819460295e-11,4.946131578466593252e-11,5.549773402117467291e-11,4.708173903707794717e-11
3.457999999999999963e-01,2.898895056899003597e-11,3.485314380103856407e-11,4.247367614024374134e-11,4.903905247649175173e-11,5.512893955279033032e-11,4.696674550365529720e-11
3.551000000000000267e-01,2.911864396027540505e-11,3.678435978324182896e-11,4.473954874301215754e-11,5.153983103044518690e-11,5.806068683301121439e-11,4.904323237825849242e-11
3.588000000000000078e-01,2.734301256804490153e-11,3.392589677723801472e-11,4.079743729139966862e-11,4.757644017276496735e-11,5.335586371723645086e-11,4.549404100819035070e-11
3.723000000000000198e-01,2.637741302513401832e-11,3.262679491421218043e-11,3.928336884684845176e-11,4.503515497009470189e-11,4.975250686679497884e-11,4.300913661152780338e-11
3.746000000000000441e-01,2.709834835909741336e-11,3.272782723974967229e-11,3.954776986376205461e-11,4.562394525430895927e-11,5.085219430436395378e-11,4.334135252545103996e-11
3.853000000000000314e-01,2.578890631569776283e-11,3.072438644190264061e-11,3.755350773051707849e-11,4.304991377110597178e-11,4.812416875404611054e-11,4.128037219739701790e-11
3.863000000000000322e-01,2.521822392528948999e-11,3.043937552860707064e-11,3.701259773609571302e-11,4.280925060020193457e-11,4.939080343331757035e-11,4.034423917268842609e-11
4.007999999999999896e-01,2.673625830323832288e-11,3.214475298534228406e-11,3.910505047650864934e-11,4.522583318759260140e-11,5.108493169919372496e-11,4.308422664709531990e-11
4.158000000000000029e-01,2.911864396027540505e-11,3.485314380103856407e-11,4.209362334437589525e-11,4.858860395644908198e-11,5.389578022105494192e-11,4.622353228000739029e-11
4.313999999999999502e-01,2.964682756847528073e-11,3.580573391447893690e-11,4.296595272053596176e-11,4.923420651939655424e-11,5.662464452187981568e-11,4.714670728557736528e-11
4.476999999999999869e-01,2.938154891284850469e-11,3.585558090093756832e-11,4.352376326449718820e-11,4.967298546121190750e-11,5.635898889708615383e-11,4.786294736574230064e-11
4.645000000000000240e-01,2.544591296101865752e-11,3.157206669783700156e-11,3.805629604108416415e-11,4.351419534101179756e-11,4.779017372698666796e-11,4.157617738292296326e-11
4.818999999999999950e-01,2.468427356638564562e-11,2.964016855038302590e-11,3.613746125672698544e-11,4.152632940026098687e-11,4.693710429872501141e-11,4.003405349934708979e-11
5.000000000000000000e-01,2.301443052809957582e-11,2.809513167271451311e-11,3.446662600795382853e-11,3.984533850473728667e-11,4.511878362545411549e-11,3.809982665110467196e-11
